angDist,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,_RAJ2000,_DEJ2000,Sample,Name,SpType,Teff,LogL,AV,_RA,_DE
0.054385,308.7410240378754,41.7317426184261,0.001,0.001,90,2067913164027256960,308.74101420343,0.0366,41.73172443648,0.0380,0.5147,0.0455,-1.705,0.075,-4.223,0.069,0,3.10296e+05,1.11769e+02,11.958924,4.78791e+04,1.14059e+02,13.651024,4.24441e+05,8.05530e+02,10.692378,2.958646,,,0,4158.35,2.0860,1.0807,16.13,70.069,308.7410417,41.73175,Cygnus OB2,J20345785+4143543,O7:Ib,34990,5.25,8.2,308.74104,41.73175
0.057108,307.3984613609414,40.4087343089344,0.001,0.001,0,2067401375725290496,307.39845151880,0.0326,40.40871518376,0.0424,0.5254,0.0439,-1.741,0.071,-4.442,0.080,0,7.05622e+05,5.27007e+02,11.066936,2.39005e+05,3.47666e+02,11.905371,6.88807e+05,6.70477e+02,10.166676,1.738695,,,0,4492.51,0.9990,0.4673,18.82,129.966,307.3984583,40.40875,Cygnus OB2,J20293563+4024315,O8IIIz,33961,4.75,5.1,307.39846,40.40875
0.095688,306.9705352296287,41.7351983204756,0.001,0.001,0,2068074620437883520,306.97051743860,0.0351,41.73517998746,0.0468,0.6440,0.0486,-3.084,0.076,-4.258,0.084,0,6.47950e+05,6.80421e+02,11.159513,1.44867e+05,3.04087e+02,12.448967,7.73625e+05,1.14691e+03,10.040593,2.408374,,,0,3845.05,1.5797,0.7400,24.08,114.156,306.9705,41.7351944,Cygnus OB2,J20275292+4144067,O9.5II,30626,5.09,7.1,306.9705,41.73519
0.035418,307.3173876899184,40.9603310725525,0.001,0.001,90,2067807885789820160,307.31736771489,0.0291,40.96031085216,0.0328,0.5335,0.0378,-3.503,0.066,-4.696,0.061,0,2.67562e+05,8.70006e+01,12.119804,4.90831e+04,1.78886e+02,13.624059,3.46652e+05,4.50161e+02,10.912187,2.711872,,,0,3970.53,2.3837,1.1023,16.79,63.092,307.317375,40.9603333,Cygnus OB2,J20291617+4057372,O9.7III,28518,4.78,7.7,307.31737,40.96033
0.045245,306.9078084180957,41.2630001768072,0.001,0.001,0,2067642920388313600,306.90779199729,0.0287,41.26298232682,0.0352,0.5438,0.0365,-2.867,0.059,-4.146,0.064,0,2.45636e+05,1.36550e+02,12.212635,4.92007e+04,1.31997e+02,13.621459,3.07936e+05,4.76666e+02,11.040767,2.580692,,,0,3820.85,2.2030,1.1495,17.92,61.692,306.9077917,41.263,Cygnus OB2,J20273787+4115468,B0II,25932,4.62,6.8,306.90779,41.263
0.028170,307.5457148899376,41.3357838619993,0.001,0.001,0,2068007687667323904,307.54569780896,0.0361,41.33576847611,0.0453,0.5569,0.0472,-2.979,0.081,-3.573,0.086,0,1.05004e+05,3.42780e+01,13.135354,1.95180e+04,7.41607e+01,14.625298,1.36771e+05,1.58119e+02,11.921935,2.703363,,,0,3860.02,2.7090,1.3560,11.06,24.485,307.5457083,41.3357778,Cygnus OB2,J20301097+4120088,B0:II:,25932,4.39,7.4,307.54571,41.33578
0.573071,308.1653251949591,40.8447853317859,0.001,0.001,0,2067768097212457344,308.16530864232,0.0229,40.84476609293,0.0284,0.4887,0.0297,-2.908,0.047,-4.468,0.055,0,2.05160e+05,5.81753e+01,12.408132,4.89201e+04,1.30782e+02,13.627669,2.40669e+05,3.01322e+02,11.308369,2.319301,,,0,3508.67,1.7970,0.8760,24.18,79.821,308.1653333,40.8449444,Cygnus OB2,J20323968+4050418,B0II,25932,4.32,5.7,308.16533,40.84494
0.175658,308.1617371659177,40.9796465776196,0.001,0.001,0,2067769845260237568,308.16171996551,0.0288,40.97962844447,0.0335,0.5648,0.0360,-3.016,0.062,-4.212,0.066,0,1.37408e+05,3.77134e+01,12.843337,2.73856e+04,7.33608e+01,14.257582,1.74126e+05,2.76086e+02,11.659762,2.597819,,,0,3566.25,2.4297,1.2180,16.21,38.300,308.16175,40.9796944,Cygnus OB2,J20323882+4058469,B0Ib,27800,4.33,6.7,308.16175,40.97969
0.092434,306.8374847071804,41.3572614790026,0.001,0.001,0,2067691195819277056,306.83746727313,0.0198,41.35723994402,0.0261,0.4725,0.0261,-3.039,0.040,-5.002,0.046,0,2.77344e+05,8.51765e+02,12.080819,7.79329e+04,7.43601e+02,13.122087,3.06768e+05,2.98672e+03,11.044894,2.077192,,,0,4107.29,1.5070,0.7350,17.28,76.591,306.8374583,41.3572778,Cygnus OB2,J20272099+4121262,B0.5V,26308,4.33,5.8,306.83746,41.35728
0.053085,308.2719260984175,41.7268740707232,0.001,0.001,90,2067934394049131520,308.27191107718,0.0282,41.72685781670,0.0307,0.5922,0.0345,-2.604,0.056,-3.775,0.056,0,2.97844e+05,8.08115e+01,12.003392,7.99548e+04,1.52490e+02,13.094276,3.35244e+05,4.24592e+02,10.948518,2.145759,,,0,3592.00,1.6063,0.8015,22.22,74.082,308.2719167,41.7268611,Cygnus OB2,J20330526+4143367,B0.5III,24164,4.27,5.2,308.27192,41.72686
0.025094,307.7082174932604,40.7384724622931,0.001,0.001,90,2067787746683936640,307.70822183999,0.0255,40.73846109558,0.0284,0.6532,0.0330,0.765,0.055,-2.640,0.053,0,2.04844e+06,9.19008e+02,9.909806,1.09480e+06,1.76295e+03,10.253053,1.36600e+06,1.99628e+03,9.423296,0.829757,,,0,5684.88,,,14.24,190.775,307.7082083,40.7384722,Cygnus OB2,BD+404208,B1V,23590,4.14,2.2,307.70821,40.73847
0.037593,307.9308707629031,41.0005733592256,0.001,0.001,0,2067797195612486656,307.93085462229,0.0318,41.00055614029,0.0349,0.5428,0.0407,-2.829,0.065,-3.999,0.069,0,9.97078e+04,5.18974e+01,13.191543,1.79656e+04,9.05911e+01,14.715287,1.30534e+05,2.28717e+02,11.972611,2.742676,,,0,4575.31,2.6973,1.3490,6.50,16.669,307.930875,41.0005833,Cygnus OB2,J20314341+4100021,B1V,23590,4.21,7.0,307.93087,41.00058
0.024280,307.9957551381523,41.1253833766426,0.001,0.001,90,2067821664044745984,307.99573889336,0.0293,41.12536484183,0.0326,0.5755,0.0384,-2.842,0.062,-4.305,0.062,0,1.19962e+05,5.12516e+01,12.990757,2.43619e+04,6.17044e+01,14.384609,1.52028e+05,2.05518e+02,11.807110,2.577499,,,0,3598.28,2.3837,1.1967,14.43,31.444,307.99575,41.1253889,Cygnus OB2,J20315898+4107314,B1V,23590,4.26,7.1,307.99575,41.12539
0.092064,307.3064796643296,40.6842697870480,0.001,0.001,0,2067425461902141056,307.30647741213,0.0242,40.68425950782,0.0339,0.7505,0.0349,-0.397,0.049,-2.387,0.059,0,2.14588e+06,1.31484e+03,9.859351,1.21910e+06,1.95783e+03,10.136287,1.34366e+06,2.01454e+03,9.441193,0.695094,,,0,6301.75,1.7215,0.8617,10.19,147.671,307.3064583,40.68425,Cygnus OB2,BD+404193,B1V,23590,4.06,1.7,307.30646,40.68425
0.048426,306.9552184442002,40.2834554029833,0.002,0.002,0,2067390277529622144,306.95520261467,0.0561,40.28343506136,0.0608,0.6557,0.0733,-2.805,0.119,-4.725,0.126,0,5.60040e+05,4.62317e+02,11.317818,1.41407e+05,3.25197e+02,12.475210,6.31473e+05,6.62645e+02,10.261033,2.214177,,,0,4014.46,1.7163,0.8707,19.08,85.191,306.9552083,40.2834444,Cygnus OB2,J20274925+4017004,B1III,21557,4.27,4.9,306.95521,40.28344
0.036222,307.9763880804860,40.1685289528038,0.003,0.002,0,2064337036816956032,307.97637244466,0.0683,40.16850545654,0.0820,0.7711,0.0870,-2.775,0.153,-5.457,0.164,0,1.23975e+05,2.44517e+02,12.955028,2.03819e+04,1.63007e+02,14.578280,1.64638e+05,8.89251e+02,11.720598,2.857681,,,0,3874.52,2.7503,1.3865,8.58,14.932,307.976375,40.1685278,Cygnus OB2,J20315433+4010067,B1III,21557,4.02,6.5,307.97637,40.16853
0.506330,308.0865738968500,41.8669119231252,0.002,0.002,0,2067950096449560320,308.08659344442,0.0513,41.86691120633,0.0598,1.5469,0.0664,3.381,0.104,-0.166,0.111,1,4.12042e+06,2.96959e+03,9.151011,3.53326e+06,9.68167e+04,8.980949,2.11030e+06,5.11044e+04,8.951058,0.029891,,,0,9084.00,,,,,308.08675,41.8668611,Cygnus OB2,CCDMJ20323+4152AB,B9V,10700,2.96,-0.2,308.08675,41.86686
0.865728,308.0870705630192,41.8668320806519,0.004,0.003,0,2067950100746274816,308.08708153072,0.1046,41.86682334708,0.1525,0.4900,0.1424,1.897,0.210,-2.028,0.284,0,2.12632e+06,4.98936e+03,9.869296,2.83090e+06,2.58380e+05,9.221576,1.59191e+06,1.48843e+05,9.257124,-0.035548,,,0,5939.73,,,,,308.08675,41.8668611,Cygnus OB2,CCDMJ20323+4152AB,B9V,10700,2.96,-0.2,308.08675,41.86686
