angDist,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,_RAJ2000,_DEJ2000,Name,n_Name,o,RAJ2000,DEJ2000,Bmag,Jmag,Hmag,Ksmag,SpType,r_SpType,Field,st,AV,Teff,VMAG,Mass,Age,SimbadName
0.007632,306.9317305401921,40.5954195235965,0.001,0.001,0,2067398416488472704,306.93171851332,0.0209,40.59539946318,0.0253,0.5764,0.0270,-2.121,0.044,-4.659,0.046,0,3.07143e+06,6.37229e+02,9.470016,1.64937e+06,2.69191e+03,9.808093,2.04288e+06,3.15427e+03,8.986314,0.821779,,,0,5809.00,,,18.85,364.414,306.93173333,40.59541944,BD+40 4179,,,20 27 43.616,+40 35 43.51,10.115,8.419,8.327,8.256,O8V:,2,Cygnus OB2,K,2.2,34877,-3.63,19.8,0.2,2MASS J20274361+4035435
0.006102,307.0644637008754,40.6388375393658,0.001,0.001,90,2067421304373639552,307.06445329269,0.0218,40.63881678208,0.0256,0.5634,0.0290,-1.834,0.047,-4.821,0.045,0,2.96553e+06,5.60904e+02,9.508112,1.36698e+06,1.68259e+03,10.011980,2.28544e+06,2.45354e+03,8.864497,1.147483,,,0,4954.00,,,27.54,411.577,307.0644625,40.63883611,BD+40 4185,,,20 28 15.471,+40 38 19.81,10.474,8.026,7.859,7.786,B0V:,2,Cygnus OB2,K,2.4,30110,-4.11,17.7,6.3,2MASS J20281547+4038196
0.018118,307.1334483036901,40.8174713417759,0.001,0.001,90,2067430718942052224,307.13343618376,0.0308,40.81745837129,0.0349,0.7273,0.0403,-2.130,0.068,-3.012,0.058,0,8.35503e+06,4.58388e+03,8.383495,3.58205e+06,5.68423e+03,8.966059,6.85959e+06,1.37376e+04,7.671175,1.294884,,,0,5004.00,,,34.90,688.160,307.13344583,40.81746667,HD 195213,,,20 28 32.027,+40 49 02.88,9.504,6.668,6.44,6.258,O7,2,Cygnus OB2,K,3.6,36872,-5.81,43.3,2.8,2MASS J20283203+4049027
0.023809,308.1262977744028,40.5758991561036,0.001,0.001,0,2067726006532873728,308.12628089791,0.0350,40.57588008219,0.0460,0.6373,0.0474,-2.977,0.077,-4.430,0.086,0,7.19704e+05,3.85446e+02,11.045481,1.24749e+05,3.44873e+02,12.611294,9.29615e+05,1.02201e+03,9.841162,2.770132,,,0,3711.60,1.8060,0.9170,28.81,141.881,308.12629167,40.57589444,J20323033+4034332,,,20 32 30.310,+40 34 33.22,14.0,7.892,7.365,7.07,O9.5IV,9,Cygnus OB2,K,6.1,31382,-5.24,26.1,4.9,2MASS J20323033+4034332
0.042622,307.9418804841869,40.7235133583141,0.007,0.007,90,2067742877164542080,307.94187331998,0.2283,40.72349448189,0.2110,0.3770,0.2558,-1.261,0.481,-4.384,0.427,0,4.03625e+05,1.59399e+02,11.673420,9.80935e+04,1.73521e+02,12.872287,4.68684e+05,3.62417e+02,10.584719,2.287568,,,0,3534.00,,,,,307.9418875,40.72350278,J20314605+4043246,,,20 31 46.053,+40 43 24.61,13.84,8.91,8.484,8.257,B0.5IV,9,Cygnus OB2,K,4.7,25917,-3.8,14.1,10.0,2MASS J20314605+4043246
0.010487,307.7508513714477,40.8304694981642,0.001,0.001,0,2067788713055642880,307.75082407214,0.0197,40.83044147772,0.0247,0.6116,0.0254,-4.798,0.040,-6.508,0.045,0,9.63193e+05,2.64797e+02,10.729082,3.02288e+05,2.80201e+02,11.650334,9.75347e+05,7.74401e+02,9.789022,1.861312,,,0,4052.13,0.7455,0.3577,26.01,164.359,307.75085,40.83047222,J20310019+4049497,,,20 31 00.204,+40 49 49.70,12.077,8.378,8.016,7.826,O7V((f)),9,Cygnus OB2,K,4.5,36872,-4.34,25.6,2.0,2MASS J20310019+4049497
0.020853,307.7313234127959,40.9150055750215,0.001,0.001,0,2067795752502969472,307.73130590322,0.0218,40.91498700923,0.0254,0.5282,0.0285,-3.073,0.045,-4.312,0.050,0,2.89600e+05,9.52466e+01,12.033871,7.17657e+04,1.82844e+02,13.211597,3.35471e+05,5.07062e+02,10.947784,2.263812,,,0,3670.63,1.9910,1.0070,22.87,85.532,307.73131667,40.91500833,J20305552+4054541,,o,20 30 55.516,+40 54 54.03,14.06,9.247,8.759,8.474,B0V,10,Cygnus OB2,K,5.5,30110,-3.77,16.5,5.6,2MASS J20305552+4054541
0.027096,308.1601807403293,40.6790218137734,0.003,0.003,90,2067730816896271488,308.16016740558,0.0900,40.67900418502,0.0987,0.1315,0.1108,-2.349,0.196,-4.094,0.188,0,3.41529e+05,1.08738e+02,11.854795,4.99759e+04,1.31272e+02,13.604487,4.70982e+05,6.62811e+02,10.579410,3.025078,,,0,4160.02,,,,,308.16017083,40.67902222,J20323843+4040445,,,20 32 38.441,+40 40 44.48,15.33,8.347,7.705,7.383,O8III,10,Cygnus OB2,K,6.9,33961,-5.04,28.0,3.9,2MASS J20323843+4040445
0.017125,307.4444676262574,41.0856491419846,0.001,0.001,0,2067810183593068160,307.44445070326,0.0252,41.08563116351,0.0282,0.5920,0.0315,-2.963,0.051,-4.176,0.055,0,4.73415e+05,7.51169e+02,11.500261,1.42652e+05,6.67754e+02,12.465694,4.90673e+05,2.50486e+03,10.534941,1.930754,,,0,3886.38,0.9650,0.4663,21.61,95.985,307.44446667,41.08564444,J20294666+4105083,,,20 29 46.672,+41 05 08.32,12.87,9.033,8.636,8.457,B0.5V(n) sb2?,9,Cygnus OB2,K,4.3,28032,-3.61,14.4,7.9,2MASS J20294666+4105083
0.017483,307.4875480534373,41.1649548596882,0.001,0.001,0,2067816681882846464,307.48753002567,0.0177,41.16493510394,0.0238,0.5871,0.0236,-3.152,0.036,-4.588,0.044,0,3.94419e+05,1.16398e+02,11.698472,1.12771e+05,3.18716e+02,12.720894,4.25919e+05,3.51695e+02,10.688602,2.032291,,,0,3699.00,1.3503,0.6597,23.41,92.425,307.48754167,41.16495556,J20295701+4109538,,,20 29 57.010,+41 09 53.84,13.013,9.119,8.702,8.452,B0V,9,Cygnus OB2,K,4.9,30110,-3.72,16.3,5.6,2MASS J20295701+4109538
0.028675,308.4092252789901,40.6851044354863,0.001,0.001,0,2064748559105788160,308.40920963434,0.0408,40.68508506537,0.0488,0.5358,0.0538,-2.755,0.087,-4.499,0.090,1,9.50759e+05,1.00571e+03,10.743190,1.16875e+05,4.75639e+02,12.682082,1.36399e+06,5.50930e+03,9.424891,3.257191,,,0,3551.54,1.3710,0.7690,45.58,297.785,308.40922083,40.68509722,J20333821+4041064,,o,20 33 38.213,+40 41 06.35,14.7,6.904,6.17,5.745,B0Ia,10,Cygnus OB2,K,7.6,25094,-6.6,36.0,4.5,2MASS J20333821+4041064
0.029842,307.9037917040149,40.9858423179295,0.002,0.002,0,2067796787591714048,307.90375353645,0.0511,40.98582911113,0.0539,0.5604,0.0654,-6.692,0.105,-3.067,0.108,0,4.61200e+05,5.33025e+02,11.528643,6.24825e+04,3.24042e+02,13.361992,6.46787e+05,1.37518e+03,10.235016,3.126976,,,0,3667.00,1.9030,1.0050,27.29,121.313,307.90379583,40.98585,J20313690+4059092,,,20 31 36.911,+40 59 09.06,15.38,7.913,7.208,6.811,O7Ib(f),10,Cygnus OB2,K,7.7,34990,-5.7,36.0,3.5,2MASS J20313690+4059092
0.067622,308.2621791785148,40.7903685440176,0.011,0.010,90,2067755379810392320,308.26218757449,0.3316,40.79034151747,0.3144,2.0509,0.3651,1.476,0.729,-6.277,0.638,0,8.72909e+05,9.43433e+02,10.835944,1.16506e+05,2.84714e+02,12.685518,1.20754e+06,2.00535e+03,9.557167,3.128351,144.38,14.19,8,3399.65,2.8142,1.4232,13.23,21.074,308.2622,40.79035833,J20330292+4047254,,,20 33 02.928,+40 47 25.29,14.4,7.251,6.632,6.274,O8II((f)),9,Cygnus OB2,K,7.0,33570,-6.15,43.9,3.2,2MASS J20330292+4047254
