angDist,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,_RAJ2000,_DEJ2000,RAJ2000,DEJ2000,Bmag,Vmag,SpType,ASCC,Seq,Pkin,Pph,Psp
0.017139,307.3811161741883,41.7623697875413,0.001,0.001,0,2068054004595004800,307.38112985168,0.0283,41.76237694308,0.0336,1.3072,0.0405,2.37,0.061,1.662,0.067,0,1651820.0,621.941,10.143462,1149600.0,1240.14,10.20002,759673.0,738.106,10.060353,0.139667,,,0,8812.0,,,,,307.381111,41.762367,307.38110844,41.76236302,10.235,10.151,,434391,490,0.0,0.0,0
0.151899,307.3974779609383,41.5466340806653,0.001,0.001,90,2068013666261892096,307.39744376468,0.0208,41.54660556709,0.0227,0.7707,0.0271,-5.944,0.044,-6.623,0.043,0,391234.0,90.0138,11.707274,213566.0,276.737,12.027559,258008.0,193.085,11.232837,0.794723,,,0,5910.0,,,4.85,25.826,307.397429,41.546655,307.39743205,41.5466735,12.098,11.743,,434397,490,0.0,0.0,0
0.107592,307.4004401057978,41.0889853419046,0.001,0.001,90,2067810875087069824,307.40042329061,0.027,41.08900986507,0.029,0.9457,0.0341,-2.944,0.054,5.696,0.052,0,1427450.0,985.851,10.301961,416929.0,382.416,11.301233,1459820.0,1170.46,9.351168,1.950066,10.37,0.34,5,4020.78,1.024,0.5347,21.01,103.963,307.400445,41.089015,307.40045393,41.08900234,12.553,11.121,,434399,490,0.0,0.0,0
0.031546,307.407725084853,41.5075157423735,0.001,0.001,90,2068013357021223040,307.4077189975,0.0226,41.50749497599,0.022,0.811,0.028,-1.059,0.048,-4.823,0.043,0,1543260.0,419.625,10.217269,907911.0,679.505,10.45628,919331.0,782.64,9.85324,0.60304,,,0,6503.0,1.5805,0.794,7.51,90.769,307.407729,41.507524,307.40773223,41.5075403,10.746,10.283,,434405,490,0.0,0.0,0
0.226327,307.4120503578213,41.6390536742696,0.001,0.001,90,2068026237629282560,307.41205823779,0.0212,41.63903048026,0.0215,1.5046,0.0262,1.368,0.046,-5.387,0.042,0,156654.0,29.8468,12.701014,91509.5,112.93,12.947722,95891.6,93.5517,12.307468,0.640254,,,0,6569.0,0.203,0.1033,1.26,2.676,307.411994,41.639007,307.41198338,41.63902319,13.03,12.727,,434408,490,0.0,0.0,0
0.091159,307.4186517383907,41.4241285165575,0.001,0.001,0,2068010638306707456,307.41864252844,0.0191,41.42404482046,0.0237,4.6835,0.0263,-1.604,0.042,-19.439,0.045,1,1489440.0,316.069,10.25581,848089.0,624.87,10.530285,917347.0,764.911,9.855586,0.674699,-8.67,0.27,14,6147.43,0.203,0.1,1.43,2.64,307.418684,41.424136,307.41868455,41.42418396,10.87,10.269,,434410,490,0.0,0.0,0
0.263499,307.4274515843254,41.2967890827777,0.001,0.001,0,2068006691234933248,307.42743281693,0.0182,41.29676043776,0.0222,1.6984,0.0232,-3.275,0.039,-6.653,0.043,0,514467.0,155.387,11.409972,185699.0,267.115,12.179366,473378.0,358.566,10.573899,1.605467,-32.52,1.32,8,4243.25,,,5.9,10.181,307.427549,41.29679,307.42754679,41.29680394,13.14,11.892,,434412,490,0.0,0.0,0
0.118706,307.430164224993,41.0645168054925,0.001,0.001,0,2067810046154115200,307.43021457272,0.0213,41.06452914434,0.0244,1.5734,0.0272,8.817,0.042,2.866,0.046,0,304376.0,52.6372,11.979841,179241.0,225.608,12.217797,183598.0,130.957,11.602251,0.615546,-13.52,10.44,10,6744.72,0.726,0.359,1.6,4.758,307.430137,41.064491,307.43011701,41.06448785,12.458,11.772,,434414,490,0.0,0.0,0
0.038094,307.4475168996675,41.0420036469196,0.001,0.001,90,2067809775575413248,307.44754243135,0.0281,41.04203626841,0.0295,2.5159,0.034,4.473,0.058,7.577,0.056,0,3228340.0,1607.61,9.415916,2233670.0,4001.63,9.478838,1472730.0,3348.18,9.341609,0.137229,,,0,8238.27,0.295,0.165,,,307.447514,41.042014,307.44749977,41.04199063,9.537,9.404,A0,434419,490,0.0,0.0,0
0.033425,307.4504443847178,41.7226721158921,0.001,0.001,0,2068051084017233024,307.45061008694,0.0232,41.72276094426,0.0274,7.574,0.0319,28.725,0.047,20.631,0.049,1,5173770.0,1372.94,8.903848,3024740.0,3018.78,9.14967,3064020.0,5219.39,8.546191,0.603478,-21.61,1.04,4,6492.03,0.3185,0.171,1.48,3.489,307.450448,41.722681,307.4503521,41.72262652,9.452,8.982,F5,434421,490,0.0,0.0,0
