angDist,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,_RAJ2000,_DEJ2000,[MT91],SpType,RAJ2000,DEJ2000,AV,Vmag,(B-V),DM,PAct,RV,MT91
0.818274,307.6658315608041,41.6140794476534,0.011,0.010,90,2068035342958597760,307.66584137222,0.3341,41.61404409798,0.3213,2.0941,0.3711,1.704,0.724,-8.210,0.624,0,3.12335e+05,1.09569e+02,11.951814,7.67161e+04,1.43315e+02,13.139172,3.65293e+05,3.46162e+02,10.855316,2.283855,,,0,3702.91,2.1923,1.0800,5.82,5.737,307.666125,41.6141389,5,O6V,20 30 39.87,+41 36 50.9,5.8,12.93,1.64,12.0,,,MT91
0.175161,307.7129771278545,41.3393788244830,0.001,0.001,0,2067842756625081856,307.71296046896,0.0310,41.33936126809,0.0402,0.4823,0.0402,-2.905,0.066,-4.078,0.076,0,1.11242e+05,4.49066e+01,13.072689,1.97033e+04,7.75575e+01,14.615042,1.46171e+05,2.01306e+02,11.849765,2.765277,,,0,4070.90,2.5695,1.2727,11.04,30.155,307.713,41.3393333,20,B0V,20 30 51.12,+41 20 21.6,7.3,14.48,2.18,10.9,,V,MT91
0.664830,307.7113893779454,41.5851773336815,0.000,0.000,90,2068034488263553792,307.71137259831,0.0135,41.58516129905,0.0154,0.5862,0.0167,-2.915,0.029,-3.724,0.029,0,1.02417e+05,4.87393e+01,13.162437,3.46538e+04,1.16771e+02,14.002010,1.02263e+05,1.47361e+02,12.237620,1.764390,,,0,4083.67,1.2800,0.6015,8.63,18.644,307.7114583,41.585,21,B2II,20 30 50.75,+41 35 06.0,4.4,13.74,1.3,14.1,,V,MT91
0.377680,307.7475849278660,41.5999894404015,0.001,0.001,0,2068034694421980416,307.74756480037,0.0232,41.59997552532,0.0266,0.5551,0.0289,-3.496,0.050,-3.232,0.054,0,6.90502e+04,7.07052e+01,13.590454,2.86454e+04,8.04434e+02,14.208753,8.06159e+04,1.77657e+03,12.495868,1.712885,,,0,4403.00,,,5.91,11.835,307.747625,41.5998889,42,B2V,20 30 59.43,+41 35 59.6,4.4,13.73,1.27,11.7,,,MT91
0.531227,307.7939420737629,41.5315162294027,0.002,0.002,90,2067846574853004672,307.79392422714,0.0523,41.53149752974,0.0576,0.5487,0.0656,-3.103,0.116,-4.343,0.106,0,1.25358e+06,1.11671e+03,10.442987,3.91077e+05,1.65901e+03,11.370731,1.35422e+06,6.41075e+03,9.432699,1.938032,,,0,3844.25,,,39.33,304.390,307.7940417,41.5313889,59,O8V,20 31 10.57,+41 31 53.0,5.3,11.18,1.47,10.2,,V,MT91
0.217854,307.8263723136511,41.3560285666128,0.001,0.001,0,2067840149584105344,307.82635861061,0.0280,41.35601075692,0.0345,0.5979,0.0367,-2.389,0.060,-4.136,0.065,0,3.74349e+05,1.25918e+02,11.755176,7.45066e+04,2.25560e+02,13.170900,4.71619e+05,6.63054e+02,10.577941,2.592959,,,0,3660.00,2.3913,1.1760,23.19,86.934,307.8262917,41.3560278,70,O9V,20 31 18.31,+41 21 21.7,7.1,12.99,2.1,10.0,,V,MT91
0.364929,307.8417786348522,41.5245452962009,0.001,0.001,0,2067845887660714880,307.84176402383,0.0216,41.52452524450,0.0298,0.5532,0.0301,-2.541,0.047,-4.657,0.054,0,1.72025e+06,7.81542e+02,10.099385,6.31225e+05,6.60240e+02,10.850927,1.57416e+06,1.45192e+03,9.269300,1.581627,,,0,4365.00,0.8390,0.3880,30.39,302.135,307.8417917,41.5244444,83,B1I,20 31 22.03,+41 31 28.0,4.1,10.64,1.18,13.0,Susp,V,MT91
0.692572,307.8772734498131,41.6210836451371,0.001,0.001,90,2067853171925419392,307.87725824574,0.0168,41.62106732336,0.0204,0.5904,0.0228,-2.640,0.037,-3.791,0.036,0,4.63855e+04,1.46375e+01,14.022411,1.62388e+04,2.47226e+01,14.825001,4.52469e+04,3.82288e+01,13.122949,1.702052,,,0,4152.60,1.4390,0.7817,5.46,7.986,307.8770417,41.621,97,B2V,20 31 30.49,+41 37 15.6,4.3,14.56,1.22,12.7,,V,MT91
0.037905,307.8890699963819,41.3802811490561,0.001,0.001,0,2067840974218090112,307.88905592741,0.0283,41.38026419639,0.0335,0.5740,0.0389,-2.452,0.060,-3.937,0.064,0,1.49968e+05,4.71817e+01,12.748369,3.32822e+04,8.06663e+01,14.045857,1.83276e+05,3.32624e+02,11.604154,2.441704,,,0,3410.00,2.0123,0.9980,19.39,45.824,307.8890833,41.3802778,103,B1V,20 31 33.38,+41 22 49.0,6.7,13.81,2.0,10.3,,V,MT91
0.677049,307.8901698235536,41.6012961398474,0.006,0.005,90,2067852416011174016,307.89016867004,0.1568,41.60126747264,0.1881,0.6626,0.2091,-0.200,0.361,-6.658,0.341,1,4.83742e+04,5.65488e+01,13.976831,1.64094e+04,3.71516e+01,14.813656,5.00664e+04,3.69968e+01,13.013054,1.800602,,,0,3980.54,,,,,307.8899583,41.6011944,106,B3V,20 31 33.59,+41 36 04.3,4.4,14.6,1.29,12.0,,V,MT91
