angDist,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,_RAJ2000,_DEJ2000,RAJ2000,DEJ2000,SpType,Schulte,[MT91],ONames,AV,logL,logT,l_M1,M1,Age1,Umag,Bmag,Vmag,Jmag,Hmag,Kmag,SimbadName
0.179755,308.0261598207371,40.8082003404209,0.001,0.001,0,2067745076187793024,308.02614466685,0.0310,40.80818392223,0.0362,0.6555,0.0415,-2.664,0.066,-3.813,0.069,0,1.05058e+06,9.40907e+02,10.634794,2.00080e+05,5.04865e+02,12.098379,1.32303e+06,2.82806e+03,9.457994,2.640386,,,0,4019.14,,,26.04,159.438,308.0261667,40.80825,20 32 06.28,+40 48 29.7,WN7o/CE+O7V((f)),,,WR145,,5.57,4.7,>,25.0,2.0,,,,,,,WR 145
0.045888,308.9461913660853,41.3790843111516,0.012,0.010,0,2067867358199590400,308.94617463162,0.2869,41.37906762845,0.3784,0.8345,0.3676,-2.916,0.628,-3.875,0.786,0,7.14286e+05,5.22968e+02,11.053686,8.60759e+04,4.45892e+02,13.014184,1.06681e+06,3.25076e+03,9.691701,3.322483,,,0,4485.34,2.3940,1.2530,,,308.9462083,41.3790833,20 35 47.09,+41 22 44.7,WC6+O8III,,,WR146,7.83,5.06,4.9,>,25.0,2.0,,,,,,,WR 146
0.623335,308.2865235521951,41.2218616148486,0.002,0.001,0,2067781905528395264,308.28650818427,0.0454,41.22184180672,0.0678,0.6231,0.0667,-2.685,0.095,-4.601,0.107,0,8.80811e+05,9.46840e+02,10.826160,1.93900e+05,6.22996e+03,12.132442,1.29806e+06,3.27933e+04,9.478683,2.653760,,,0,3823.93,,,29.54,168.152,308.2865833,41.2216944,20 33 08.78,+41 13 18.1,O3If+O6V,22,417,,6.92,5.82,4.63,,49.9,4.12,14.33,13.59,11.55,7.11,6.54,6.226,Schulte 22
0.696448,308.3087899127462,41.3394176060113,0.001,0.001,0,2067785070923663104,308.30877429051,0.0235,41.33939849678,0.0285,0.6248,0.0298,-2.724,0.051,-4.438,0.052,0,2.39401e+06,1.14574e+03,9.740549,6.92543e+05,8.29413e+02,10.750272,2.51500e+06,3.87801e+03,8.760574,1.989698,,,0,4159.06,,,36.89,366.786,308.309,41.3393056,20 33 14.16,+41 20 21.5,O3If,7,457,,5.3,5.63,4.63,,46.7,2.67,12.19,12.0,10.55,7.248,6.818,6.611,Schulte 7
0.467702,308.3249256495896,41.3086645309535,0.001,0.001,0,2067784246289931776,308.32491024729,0.0221,41.30864632262,0.0291,0.5544,0.0306,-2.687,0.046,-4.229,0.053,0,3.04486e+06,1.74291e+03,9.479446,9.80606e+05,1.32668e+03,10.372652,3.02135e+06,3.51945e+03,8.561418,1.811235,,,0,4097.05,1.0880,0.5520,49.21,614.649,308.3250833,41.3086111,20 33 18.02,+41 18 31.0,O5III,8C,483,,4.85,5.57,4.61,,41.6,3.34,11.57,11.43,10.19,7.165,6.792,6.579,Schulte 8C
0.225407,308.2947361473102,41.2522839409620,0.001,0.001,0,2067783623515353728,308.29471873298,0.0220,41.25226387985,0.0335,0.6012,0.0326,-3.041,0.045,-4.659,0.057,0,2.70974e+06,2.59475e+03,9.606046,5.40536e+05,7.59565e+02,11.019327,3.32263e+06,3.81843e+03,8.458216,2.561112,,,0,3893.23,,,50.61,530.223,308.29475,41.2522222,20 33 10.74,+41 15 08.0,O5I+O3.5III,9,431,,6.76,5.85,4.59,,51.6,4.26,13.46,12.77,10.96,6.468,5.897,5.57,Schulte 9
0.302466,308.5354782666359,41.6165020852467,0.001,0.001,0,2067888218857234304,308.53546489572,0.0198,41.61648541789,0.0238,0.5810,0.0268,-2.322,0.041,-3.871,0.045,0,3.79137e+06,1.81182e+03,9.241376,1.07663e+06,1.46736e+03,10.271225,4.01000e+06,7.05511e+03,8.254060,2.017165,,,0,3990.72,,,57.05,743.709,308.5355833,41.6164722,20 34 08.54,+41 36 59.3,O5If+B0V,11,734,,5.4,5.73,4.59,,43.7,4.56,11.7,11.53,10.04,6.65,6.226,5.99,Schulte 11
0.297942,308.3477017174470,41.1536576494630,0.001,0.001,0,2067778542573330304,308.34770171745,1.1583,41.15365764946,1.3415,,,,,,,0,8.27224e+05,1.78203e+04,10.894308,2.18607e+05,1.27741e+03,12.002226,1.70512e+06,9.43018e+03,9.182535,2.819691,,,0,3900.87,,,,,308.34775,41.1535833,20 33 23.46,+41 09 12.9,O5.5V,,516,,7.43,5.85,4.6,,51.6,4.21,14.97,14.04,11.84,7.025,6.38,6.05,[MT91] 516
0.433109,308.3478963230342,41.1535349698472,0.026,0.024,0,2067778538274037504,308.34785365403,0.7131,41.15349853148,0.7848,0.2783,0.8396,-7.462,1.575,-8.463,1.661,0,9.04918e+05,1.32106e+04,10.796843,2.20722e+05,1.35960e+03,11.991776,1.69515e+06,5.51933e+03,9.188898,2.802877,,,0,3567.14,,,,,308.34775,41.1535833,20 33 23.46,+41 09 12.9,O5.5V,,516,,7.43,5.85,4.6,,51.6,4.21,14.97,14.04,11.84,7.025,6.38,6.05,[MT91] 516
0.141698,308.3052562219658,41.2246269148049,0.001,0.001,0,2067781939888133248,308.30524045700,0.0349,41.22460658523,0.0436,0.5694,0.0445,-2.754,0.072,-4.722,0.078,0,2.37914e+05,9.15163e+01,12.247316,4.31514e+04,1.56160e+02,13.763902,3.09108e+05,5.61962e+02,11.036643,2.727259,,,0,3874.96,2.1530,1.1202,16.08,52.533,308.3052083,41.2246111,20 33 13.25,+41 13 28.6,O6V,,448,,7.22,5.03,4.59,,28.6,0.76,16.63,15.76,13.61,8.982,8.346,8.009,[MT91] 448
0.118512,307.9062729233805,41.2224997565404,0.001,0.001,90,2067826062091598976,307.90625934801,0.0278,41.22248322073,0.0308,0.6834,0.0360,-2.372,0.059,-3.841,0.058,0,3.28326e+06,1.09933e+04,9.397602,8.27101e+05,8.14589e+03,10.557491,3.65527e+06,3.45548e+04,8.354620,2.202871,,,0,3727.00,,,56.60,556.789,307.90625,41.2225278,20 31 37.50,+41 13 21.1,O6IV+O9III,3,,,5.84,5.54,4.59,,38.0,4.18,12.3,11.83,10.22,6.498,6.001,5.748,Schulte 3
0.704508,308.6837939488806,40.8663039536190,0.001,0.001,90,2064757698797394688,308.68378006864,0.0287,40.86628727075,0.0293,0.5678,0.0358,-2.438,0.061,-3.875,0.060,0,3.91199e+05,1.93817e+02,11.707370,7.00871e+04,1.76790e+02,13.237293,5.09502e+05,1.06190e+03,10.494055,2.743238,,,0,4039.58,2.0050,1.0240,18.04,78.068,308.68375,40.8661111,20 34 44.10,+40 51 58.0,O6.5III,,,A24,7.29,5.19,4.57,,29.6,3.41,16.2,15.3,,8.43,7.81,7.461,[CPR2002] A24
0.487561,308.4202642412898,41.5052640699323,0.001,0.001,0,2067881548771533312,308.42025169696,0.0211,41.50524711979,0.0283,0.5474,0.0295,-2.182,0.045,-3.937,0.052,0,3.17281e+05,6.90824e+01,11.934755,8.94277e+04,1.75956e+02,12.972708,3.47680e+05,2.78544e+02,10.908969,2.063739,,,0,3958.56,1.0975,0.5630,18.00,71.646,308.4203333,41.5051389,20 33 40.88,+41 30 18.5,O7V,,611,,5.54,4.66,4.57,,22.3,0.0,14.61,14.32,12.77,9.263,8.866,8.614,[MT91] 611
0.285768,308.5562956592750,41.5841272576121,0.001,0.001,0,2067887840900094848,308.55628141261,0.0245,41.58411023533,0.0289,0.5971,0.0328,-2.475,0.054,-3.954,0.057,0,6.67860e+05,5.05799e+02,11.126652,1.92406e+05,5.04716e+02,12.140840,7.13076e+05,7.54733e+02,10.129080,2.011760,,,0,4083.41,0.9705,0.4942,21.63,117.196,308.55625,41.5840556,20 34 13.50,+41 35 02.6,O7V,29,745,,5.36,4.94,4.57,,25.4,1.78,13.59,13.41,11.91,8.55,8.148,7.921,Schulte 29
