angDist,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,TYPED_ID,ANG_DIST,MAIN_ID,OTYPE_S,RA_d,DEC_d,COO_ERR_MAJA_d,COO_ERR_MINA_d,COO_ERR_ANGLE_d,PMRA,PMDEC,PM_ERR_MAJA,PM_ERR_MINA,PM_ERR_ANGLE,PLX_VALUE,RV_VALUE,Z_VALUE,GALDIM_MAJAXIS,GALDIM_MINAXIS,GALDIM_ANGLE,SP_TYPE,MORPH_TYPE,NB_REF,FILTER_NAME_U,FLUX_U,FLUX_ERROR_U,FLUX_SYSTEM_U,FLUX_BIBCODE_U,FLUX_VAR_U,FLUX_MULT_U,FLUX_QUAL_U,FLUX_UNIT_U,FILTER_NAME_B,FLUX_B,FLUX_ERROR_B,FLUX_SYSTEM_B,FLUX_BIBCODE_B,FLUX_VAR_B,FLUX_MULT_B,FLUX_QUAL_B,FLUX_UNIT_B,FILTER_NAME_V,FLUX_V,FLUX_ERROR_V,FLUX_SYSTEM_V,FLUX_BIBCODE_V,FLUX_VAR_V,FLUX_MULT_V,FLUX_QUAL_V,FLUX_UNIT_V,FILTER_NAME_R,FLUX_R,FLUX_ERROR_R,FLUX_SYSTEM_R,FLUX_BIBCODE_R,FLUX_VAR_R,FLUX_MULT_R,FLUX_QUAL_R,FLUX_UNIT_R,FILTER_NAME_I,FLUX_I,FLUX_ERROR_I,FLUX_SYSTEM_I,FLUX_BIBCODE_I,FLUX_VAR_I,FLUX_MULT_I,FLUX_QUAL_I,FLUX_UNIT_I,FILTER_NAME_J,FLUX_J,FLUX_ERROR_J,FLUX_SYSTEM_J,FLUX_BIBCODE_J,FLUX_VAR_J,FLUX_MULT_J,FLUX_QUAL_J,FLUX_UNIT_J,FILTER_NAME_H,FLUX_H,FLUX_ERROR_H,FLUX_SYSTEM_H,FLUX_BIBCODE_H,FLUX_VAR_H,FLUX_MULT_H,FLUX_QUAL_H,FLUX_UNIT_H,FILTER_NAME_K,FLUX_K,FLUX_ERROR_K,FLUX_SYSTEM_K,FLUX_BIBCODE_K,FLUX_VAR_K,FLUX_MULT_K,FLUX_QUAL_K,FLUX_UNIT_K,FILTER_NAME_u,FLUX_u,FLUX_ERROR_u,FLUX_SYSTEM_u,FLUX_BIBCODE_u,FLUX_VAR_u,FLUX_MULT_u,FLUX_QUAL_u,FLUX_UNIT_u,FILTER_NAME_g,FLUX_g,FLUX_ERROR_g,FLUX_SYSTEM_g,FLUX_BIBCODE_g,FLUX_VAR_g,FLUX_MULT_g,FLUX_QUAL_g,FLUX_UNIT_g,FILTER_NAME_r,FLUX_r,FLUX_ERROR_r,FLUX_SYSTEM_r,FLUX_BIBCODE_r,FLUX_VAR_r,FLUX_MULT_r,FLUX_QUAL_r,FLUX_UNIT_r,FILTER_NAME_i,FLUX_i,FLUX_ERROR_i,FLUX_SYSTEM_i,FLUX_BIBCODE_i,FLUX_VAR_i,FLUX_MULT_i,FLUX_QUAL_i,FLUX_UNIT_i,FILTER_NAME_z,FLUX_z,FLUX_ERROR_z,FLUX_SYSTEM_z,FLUX_BIBCODE_z,FLUX_VAR_z,FLUX_MULT_z,FLUX_QUAL_z,FLUX_UNIT_z,Diameter:diameter,Diameter:Q,Diameter:unit,Diameter:error,Diameter:filter,Diameter:method,Diameter:bibcode,Distance:distance,Distance:Q,Distance:unit,Distance:merr,Distance:perr,Distance:method,Distance:bibcode,Fe_H:Teff,Fe_H:log_g,Fe_H:Fe_H,Fe_H:flag,Fe_H:CompStar,Fe_H:CatNo,Fe_H:bibcode,Herschel:ObsId,Herschel:alpha,Herschel:delta,PLX:plx,PLX:me,PLX:R,PLX:bibcode,PM:pmra,PM:me_pmra,PM:pmde,PM:me_pmde,PM:system,PM:bibcode,ROT:upVsini,ROT:Vsini,ROT:err,ROT:mes,ROT:qual,ROT:bibcode,V*:vartyp,V*:LoVmax,V*:Vmax,V*:R_Vmax,V*:magtyp,V*:UpVmin,V*:Vmin,V*:R_Vmin,V*:UpPeriod,V*:period,V*:R_period,V*:epoch,V*:R_epoch,V*:D_rt,V*:R_D_rt,V*:bibcode,velocities:type,velocities:Value,velocities:R,velocities:me,velocities:Acc,velocities:Nmes,velocities:nat,velocities:Q,velocities:dom,velocities:res,velocities:d,velocities:Date,velocities:Rem,velocities:Origin,velocities:bibcode,ISO:TDT,ISO:alpha,ISO:delta,IUE:Homogenized_Name,IUE:ComplID,IUE:PROG,IUE:CL,IUE:D,IUE:CAM,IUE:IMAGE,IUE:A,IUE:FES,IUE:MD,IUE:ObsDate,IUE:Time,IUE:ExpTim,IUE:m,IUE:CEB,IUE:S,IUE:Comments,IUE:F,IUE:bibcode,XMM:Obsno,OID4
0.000000,307.8417786348522,41.5245452962009,0.001,0.001,0,2067845887660714880,307.84176402383,0.0216,41.52452524450,0.0298,0.5532,0.0301,-2.541,0.047,-4.657,0.054,0,1.72025e+06,7.81542e+02,10.099385,6.31225e+05,6.60240e+02,10.850927,1.57416e+06,1.45192e+03,9.269300,1.581627,,,0,4365.00,0.8390,0.3880,30.39,302.135,,1445.75,Schulte  2,V*,307.8417786348522,41.5245452962009,0.0216,0.0298,90,-2.541,-4.657,0.047,0.054,90,0.5532,-4.7,-1.6E-5,,,,B1Ib:,,53,U,12.01,,Vega,2003AJ....125.2531R,,,D,U,B,11.82,,Vega,2014AJ....147...40C,,,D,B,V,10.64,,Vega,2014AJ....147...40C,,,D,V,,,,,,,,,,,,,,,,,,,J,8.075,0.023,Vega,2003yCat.2246....0C,,,C,J,H,7.75,0.02,Vega,2003yCat.2246....0C,,,C,H,K,7.628,0.016,Vega,2003yCat.2246....0C,,,C,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1807.6645,,pc,-98.3563,98.3563,paral,2018yCat.1345....0G,,,,,,,,,,,0.5532,0.0301,,2018yCat.1345....0G,-2.541,0.047,-4.657,0.054,ICRS,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,v,-4.7,,,B,12,,,,,,,,,2007ApJ...664.1102K,,,,,,,,,,,,,,,,,,,,,,,,@54059
0.000000,308.5354782666359,41.6165020852467,0.001,0.001,0,2067888218857234304,308.53546489572,0.0198,41.61648541789,0.0238,0.5810,0.0268,-2.322,0.041,-3.871,0.045,0,3.79137e+06,1.81182e+03,9.241376,1.07663e+06,1.46736e+03,10.271225,4.01000e+06,7.05511e+03,8.254060,2.017165,,,0,3990.72,,,57.05,743.709,,1252.45,BD+41  3807,Em*,308.5354782666359,41.6165020852467,0.0198,0.0238,90,-2.322,-3.871,0.041,0.045,90,0.581,-27.5,-9.2E-5,,,,O5.5Ifc,,109,U,11.74,,Vega,2003AJ....125.2531R,,,D,U,B,11.52,,Vega,2014AJ....147...40C,,,D,B,V,10.03,,Vega,2014AJ....147...40C,,,D,V,,,,,,,,,,,,,,,,,,,J,6.65,0.024,Vega,2003yCat.2246....0C,,,C,J,H,6.226,0.026,Vega,2003yCat.2246....0C,,,C,H,K,5.99,0.017,Vega,2003yCat.2246....0C,,,C,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1721.1704,,pc,-79.3931,79.3931,paral,2018yCat.1345....0G,,,,,,,,1342246759,20 34 08.52,+41 36 59.4,0.581,0.0268,,2018yCat.1345....0G,-2.322,0.041,-3.871,0.045,ICRS,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,v,-27.5,,,B,15,,,,,,,,,2007ApJ...664.1102K,,,,BD +41 3807,,DBDAW,12,L,SWP,14532,L,351,FO,810721,073900,18000,,335,G,"E=107,C=110,B=65",*,1996IUEML.C......0I,,@54069
0.000000,308.0575920060796,41.4533348907635,0.001,0.001,90,2067835682818357376,308.05757788467,0.0237,41.45331711798,0.0300,0.6700,0.0361,-2.458,0.052,-4.128,0.051,0,2.54248e+06,1.43636e+03,9.675221,9.08834e+05,1.05971e+03,10.455177,2.36171e+06,2.79050e+03,8.828856,1.626322,,,0,4253.37,0.5403,0.2545,33.03,321.600,,819.0,BD+40  4219,*inAssoc,308.0575920060796,41.4533348907635,0.0237,0.03,90,-2.458,-4.128,0.052,0.051,90,0.67,-6.5,-2.2E-5,,,,O7III((f)),,98,U,11.5,,Vega,2002yCat.2237....0D,,,C,U,B,11.4,,Vega,2002yCat.2237....0D,,,C,B,V,10.22,,Vega,2002yCat.2237....0D,,,C,V,,,,,,,,,,,,,,,,,,,J,7.582,0.018,Vega,2003yCat.2246....0C,,,C,J,H,7.248,0.016,Vega,2003yCat.2246....0C,,,C,H,K,7.105,0.016,Vega,2003yCat.2246....0C,,,C,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1492.5373,,pc,-80.4188,80.4188,paral,2018yCat.1345....0G,,,,,,,,,,,0.67,0.0361,,2018yCat.1345....0G,-2.458,0.052,-4.128,0.051,ICRS,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,v,-6.5,,,B,12,,,,,,,,,2007ApJ...664.1102K,,,,BD +40 4219,,FA218,64,L,SWP,20227,L,256,FO,830615,035316,6900,,321,V,,*,1996IUEML.C......0I,,@54082
0.000000,308.0575920060796,41.4533348907635,0.001,0.001,90,2067835682818357376,308.05757788467,0.0237,41.45331711798,0.0300,0.6700,0.0361,-2.458,0.052,-4.128,0.051,0,2.54248e+06,1.43636e+03,9.675221,9.08834e+05,1.05971e+03,10.455177,2.36171e+06,2.79050e+03,8.828856,1.626322,,,0,4253.37,0.5403,0.2545,33.03,321.600,,819.0,BD+40  4219,*inAssoc,308.0575920060796,41.4533348907635,0.0237,0.03,90,-2.458,-4.128,0.052,0.051,90,0.67,-6.5,-2.2E-5,,,,O7III((f)),,98,U,11.5,,Vega,2002yCat.2237....0D,,,C,U,B,11.4,,Vega,2002yCat.2237....0D,,,C,B,V,10.22,,Vega,2002yCat.2237....0D,,,C,V,,,,,,,,,,,,,,,,,,,J,7.582,0.018,Vega,2003yCat.2246....0C,,,C,J,H,7.248,0.016,Vega,2003yCat.2246....0C,,,C,H,K,7.105,0.016,Vega,2003yCat.2246....0C,,,C,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1492.5373,,pc,-80.4188,80.4188,paral,2018yCat.1345....0G,,,,,,,,,,,0.67,0.0361,,2018yCat.1345....0G,-2.458,0.052,-4.128,0.051,ICRS,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,v,-6.5,,,B,12,,,,,,,,,2007ApJ...664.1102K,,,,BD +40 4219,,FA218,64,L,SWP,20227,L,256,FO,830615,035316,6900,,321,V,,*,1996IUEML.C......0I,,@54082
0.000000,308.3114842384277,41.3115967013391,0.001,0.001,0,2067784619950644480,308.31146955437,0.0289,41.31157807169,0.0361,0.6241,0.0406,-2.562,0.059,-4.327,0.061,0,2.57071e+06,1.74826e+03,9.663235,7.64019e+05,1.27704e+03,10.643628,2.67305e+06,6.40582e+03,8.694402,1.949226,,,0,4085.93,0.9845,0.5007,40.52,412.309,,36.02,BD+40  4227B,*inAssoc,308.3114842384277,41.3115967013391,0.0289,0.0361,90,-2.562,-4.327,0.059,0.061,90,0.6241,-11.3,-3.8E-5,,,,O6II(f),,73,U,11.99,,Vega,2003AJ....125.2531R,,,D,U,B,11.64,0.11,Vega,2000A&A...355L..27H,,,D,B,V,10.7,0.07,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,,,,,,,,,,J,7.209,0.024,Vega,2003yCat.2246....0C,,,C,J,H,6.762,0.02,Vega,2003yCat.2246....0C,,,C,H,K,6.57,0.018,Vega,2003yCat.2246....0C,,,C,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1602.3073,,pc,-104.236,104.236,paral,2018yCat.1345....0G,,,,,,,,,,,0.6241,0.0406,,2018yCat.1345....0G,-2.562,0.059,-4.327,0.061,ICRS,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,v,-11.3,,,B,13,,,,,,,,,2007ApJ...664.1102K,,,,,,,,,,,,,,,,,,,,,,,,@54084
0.000000,308.3114842384277,41.3115967013391,0.001,0.001,0,2067784619950644480,308.31146955437,0.0289,41.31157807169,0.0361,0.6241,0.0406,-2.562,0.059,-4.327,0.061,0,2.57071e+06,1.74826e+03,9.663235,7.64019e+05,1.27704e+03,10.643628,2.67305e+06,6.40582e+03,8.694402,1.949226,,,0,4085.93,0.9845,0.5007,40.52,412.309,,36.02,BD+40  4227B,*inAssoc,308.3114842384277,41.3115967013391,0.0289,0.0361,90,-2.562,-4.327,0.059,0.061,90,0.6241,-11.3,-3.8E-5,,,,O6II(f),,73,U,11.99,,Vega,2003AJ....125.2531R,,,D,U,B,11.64,0.11,Vega,2000A&A...355L..27H,,,D,B,V,10.7,0.07,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,,,,,,,,,,J,7.209,0.024,Vega,2003yCat.2246....0C,,,C,J,H,6.762,0.02,Vega,2003yCat.2246....0C,,,C,H,K,6.57,0.018,Vega,2003yCat.2246....0C,,,C,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1602.3073,,pc,-104.236,104.236,paral,2018yCat.1345....0G,,,,,,,,,,,0.6241,0.0406,,2018yCat.1345....0G,-2.562,0.059,-4.327,0.061,ICRS,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,v,-11.3,,,B,13,,,,,,,,,2007ApJ...664.1102K,,,,,,,,,,,,,,,,,,,,,,,,@54084
0.000000,308.1155737529205,41.4811796669602,0.001,0.001,0,2067837263366481536,308.11556032395,0.0233,41.48116235820,0.0276,0.6164,0.0314,-2.337,0.051,-4.020,0.052,0,7.66167e+05,3.20816e+02,10.977557,3.14849e+05,6.08869e+02,11.606133,6.58407e+05,4.58575e+02,10.215684,1.390449,,,0,4462.80,0.4920,0.2223,17.04,103.808,,773.82,Schulte 21,*inAssoc,308.1155737529205,41.4811796669602,0.0233,0.0276,90,-2.337,-4.02,0.051,0.052,90,0.6164,-14.2,-4.7E-5,,,,B0Ib,,39,U,12.39,,Vega,2003AJ....125.2531R,,,D,U,B,12.01,0.14,Vega,2000A&A...355L..27H,,,D,B,V,11.3,0.09,Vega,2000A&A...355L..27H,,,D,V,R,11.05,0.03,Vega,2012yCat.1322....0Z,,,D,R,,,,,,,,,,J,9.191,0.021,Vega,2003yCat.2246....0C,,,C,J,H,8.895,0.02,Vega,2003yCat.2246....0C,,,C,H,K,8.766,0.016,Vega,2003yCat.2246....0C,,,C,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1622.3232,,pc,-82.6427,82.6427,paral,2018yCat.1345....0G,,,,,,,,,,,0.6164,0.0314,,2018yCat.1345....0G,-2.337,0.051,-4.02,0.052,ICRS,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,v,-14.2,,,B,11,,,,,,,,,2007ApJ...664.1102K,,,,,,,,,,,,,,,,,,,,,,,,@54151
0.000000,308.3228394389757,41.2859285833531,0.001,0.001,0,2067783799613328128,308.32282809174,0.0296,41.28591213825,0.0392,0.5413,0.0408,-1.980,0.062,-3.820,0.071,0,7.55194e+05,5.00286e+02,10.993220,2.02010e+05,3.88252e+02,12.087955,8.31974e+05,9.68270e+02,9.961646,2.126308,,,0,3989.33,0.9075,0.4450,27.36,170.783,,126.73,Schulte 24,*inAssoc,308.3228394389757,41.2859285833531,0.0296,0.0392,90,-1.98,-3.82,0.062,0.071,90,0.5413,-12.6,-4.2E-5,,,,O8V(n),,38,U,13.85,,Vega,2003AJ....125.2531R,,,D,U,B,13.47,,Vega,2014AJ....147...40C,,,D,B,V,11.88,,Vega,2014AJ....147...40C,,,D,V,,,,,,,,,,,,,,,,,,,J,8.354,0.027,Vega,2003yCat.2246....0C,,,C,J,H,7.889,0.016,Vega,2003yCat.2246....0C,,,C,H,K,7.649,0.02,Vega,2003yCat.2246....0C,,,C,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1847.4044,,pc,-139.2464,139.2464,paral,2018yCat.1345....0G,,,,,,,,,,,0.5413,0.0408,,2018yCat.1345....0G,-1.98,0.062,-3.82,0.071,ICRS,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,v,-12.6,,,B,11,,,,,,,,,2007ApJ...664.1102K,,,,,,,,,,,,,,,,,,,,,,,,@54152
0.000000,308.3228394389757,41.2859285833531,0.001,0.001,0,2067783799613328128,308.32282809174,0.0296,41.28591213825,0.0392,0.5413,0.0408,-1.980,0.062,-3.820,0.071,0,7.55194e+05,5.00286e+02,10.993220,2.02010e+05,3.88252e+02,12.087955,8.31974e+05,9.68270e+02,9.961646,2.126308,,,0,3989.33,0.9075,0.4450,27.36,170.783,,126.73,Schulte 24,*inAssoc,308.3228394389757,41.2859285833531,0.0296,0.0392,90,-1.98,-3.82,0.062,0.071,90,0.5413,-12.6,-4.2E-5,,,,O8V(n),,38,U,13.85,,Vega,2003AJ....125.2531R,,,D,U,B,13.47,,Vega,2014AJ....147...40C,,,D,B,V,11.88,,Vega,2014AJ....147...40C,,,D,V,,,,,,,,,,,,,,,,,,,J,8.354,0.027,Vega,2003yCat.2246....0C,,,C,J,H,7.889,0.016,Vega,2003yCat.2246....0C,,,C,H,K,7.649,0.02,Vega,2003yCat.2246....0C,,,C,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1847.4044,,pc,-139.2464,139.2464,paral,2018yCat.1345....0G,,,,,,,,,,,0.5413,0.0408,,2018yCat.1345....0G,-1.98,0.062,-3.82,0.071,ICRS,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,v,-12.6,,,B,11,,,,,,,,,2007ApJ...664.1102K,,,,,,,,,,,,,,,,,,,,,,,,@54152
0.105982,307.7939420737629,41.5315162294027,0.002,0.002,90,2067846574853004672,307.79392422714,0.0523,41.53149752974,0.0576,0.5487,0.0656,-3.103,0.116,-4.343,0.106,0,1.25358e+06,1.11671e+03,10.442987,3.91077e+05,1.65901e+03,11.370731,1.35422e+06,6.41075e+03,9.432699,1.938032,,,0,3844.25,,,39.33,304.390,,1569.8,Schulte  1,EB*,307.793967,41.531539,120.0,60.0,0,-1.6,-4.8,1.9,1.8,90,,-10.1,-3.4E-5,,,,O9V,,53,U,12.82,,Vega,2003AJ....125.2531R,,,D,U,B,12.65,,Vega,2014AJ....147...40C,,,D,B,V,11.072,,Vega,2017A&A...598A.108L,,,C,V,,,,,,,,,,,,,,,,,,,J,7.968,0.02,Vega,2003yCat.2246....0C,,,C,J,H,7.556,0.017,Vega,2003yCat.2246....0C,,,C,H,K,7.365,0.016,Vega,2003yCat.2246....0C,,,C,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,kpc,,,ST-L,2007ApJ...664.1102K,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,11.027,,V,,11.116,,,4.8523,,,,,,2017A&A...598A.108L,v,-10.1,,,B,17,,,,,,,,,2007ApJ...664.1102K,,,,,,,,,,,,,,,,,,,,,,,,@54302
